Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,Depositor Synonym List,Regular Synonym List,Synonym?
NASTURTIUM OFFICINALE,NASTURTIUM OFFICINALE,https://pubchem.ncbi.nlm.nih.gov/compound/Nasturtium%20officinale,FEATURED,84775-70-2,No CAS info,COMPOUND,MISSING,YES,YES
OCTYL SALICYLATE,OCTYL SALICYLATE,https://pubchem.ncbi.nlm.nih.gov/compound/62624,FEATURED,6969-49-9,No CAS info,COMPOUND,YES,YES,YES
PALMARIA PALMATA,PALMARIA PALMATA,https://pubchem.ncbi.nlm.nih.gov/compound/Palmaria%20palmata,FEATURED,"977007-74-1, 223751-74-4",No CAS info,COMPOUND,MISSING,YES,YES
PANCREAS,PANCREAS,https://pubchem.ncbi.nlm.nih.gov/compound/3289209,RELEVANT,9025-24-5,No CAS info,COMPOUND,NO,NO,NO
PHENYLETHYLACETIC ACID,PHENYLETHYLACETIC ACID,https://pubchem.ncbi.nlm.nih.gov/substance/135350772,RELEVANT,33987-92-7,No CAS info,SUBSTANCE,NO,MISSING,NO
PHOENIX DACTYLIFERA,PHOENIX DACTYLIFERA,https://pubchem.ncbi.nlm.nih.gov/compound/50896271,RELEVANT,89531-62-4,No CAS info,COMPOUND,NO,NO,NO
PHOSPHOLIPIDS,PHOSPHOLIPIDS,https://pubchem.ncbi.nlm.nih.gov/compound/10147142,RELEVANT,92128-87-5,No CAS info,COMPOUND,NO,NO,NO
PHOSPHORUS,PHOSPHORUS,https://pubchem.ncbi.nlm.nih.gov/compound/5462309,FEATURED,"7723-14-0 (red, violet, and black), 7723-14-0, 12185-10-3",29879-37-6,COMPOUND,YES,YES,YES
PINUS STROBUS,PINUS STROBUS,https://pubchem.ncbi.nlm.nih.gov/compound/Pinus%20strobus%20pollen,FEATURED,90082-77-2,No CAS info,COMPOUND,MISSING,YES,YES
PIPER METHYSTICUM,PIPER METHYSTICUM,https://pubchem.ncbi.nlm.nih.gov/compound/Piper%20methysticum%20root,FEATURED,9000-38-8,No CAS info,COMPOUND,MISSING,YES,YES
