,Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,Depositor Synonym List,Regular Synonym List,Synonym?
2084,,,,,,,,YES,YES,YES
2085,,,,,,,,YES,YES,YES
2086,,,,,,,,NO,MISSING,NO
2087,,,,,,,,YES,YES,YES
2088,,,,,,,,NO,MISSING,NO
2089,,,,,,,,NO,MISSING,NO
2090,,,,,,,,MISSING,YES,YES
2091,,,,,,,,NO,NO,NO
2092,,,,,,,,YES,YES,YES
2093,,,,,,,,YES,YES,YES
2094,,,,,,,,YES,YES,YES
2095,,,,,,,,YES,YES,YES
2096,,,,,,,,YES,YES,YES
2097,,,,,,,,NO,MISSING,NO
2098,,,,,,,,MISSING,YES,YES
2099,,,,,,,,NO,MISSING,NO
2100,,,,,,,,YES,YES,YES
2101,,,,,,,,YES,YES,YES
2102,,,,,,,,YES,YES,YES
2103,,,,,,,,YES,YES,YES
2104,,,,,,,,YES,YES,YES
2105,,,,,,,,YES,YES,YES
2106,,,,,,,,NO,MISSING,NO
2107,,,,,,,,MISSING,YES,YES
2108,,,,,,,,NO,MISSING,NO
2109,,,,,,,,MISSING,YES,YES
2110,,,,,,,,NO,NO,NO
2111,,,,,,,,YES,YES,YES
2112,,,,,,,,YES,YES,YES
2113,,,,,,,,YES,YES,YES
2114,,,,,,,,YES,YES,YES
2115,,,,,,,,NO,MISSING,NO
2116,,,,,,,,YES,YES,YES
2117,,,,,,,,MISSING,YES,YES
2118,,,,,,,,NO,MISSING,NO
2119,,,,,,,,YES,YES,YES
2120,,,,,,,,YES,YES,YES
2121,,,,,,,,MISSING,YES,YES
2122,,,,,,,,NO,NO,NO
2123,,,,,,,,YES,YES,YES
2124,,,,,,,,YES,YES,YES
2125,,,,,,,,MISSING,YES,YES
2126,,,,,,,,NO,MISSING,NO
2127,,,,,,,,MISSING,MISSING,NO
2128,,,,,,,,MISSING,YES,YES
2129,,,,,,,,MISSING,YES,YES
2130,,,,,,,,MISSING,YES,YES
2131,,,,,,,,MISSING,YES,YES
2132,,,,,,,,NO,MISSING,NO
2133,,,,,,,,NO,MISSING,NO
2134,,,,,,,,MISSING,YES,YES
2135,,,,,,,,NO,MISSING,NO
2136,,,,,,,,MISSING,YES,YES
2137,,,,,,,,NO,MISSING,NO
2138,,,,,,,,MISSING,MISSING,NO
2139,,,,,,,,MISSING,YES,YES
