,Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,Depositor Synonym List,Regular Synonym List,Synonym?
2464,,,,,,,,YES,YES,YES
2465,,,,,,,,YES,YES,YES
2466,,,,,,,,MISSING,NO,NO
2467,,,,,,,,YES,YES,YES
2468,,,,,,,,YES,YES,YES
2469,,,,,,,,NO,NO,NO
2470,,,,,,,,MISSING,YES,YES
2471,,,,,,,,MISSING,YES,YES
2472,,,,,,,,MISSING,YES,YES
2473,,,,,,,,NO,NO,NO
2474,,,,,,,,YES,YES,YES
2475,,,,,,,,YES,YES,YES
2476,,,,,,,,NO,NO,NO
2477,,,,,,,,MISSING,YES,YES
2478,,,,,,,,NO,NO,NO
2479,,,,,,,,YES,YES,YES
2480,,,,,,,,YES,YES,YES
2481,,,,,,,,YES,YES,YES
2482,,,,,,,,YES,YES,YES
2483,,,,,,,,MISSING,MISSING,NO
2484,,,,,,,,NO,MISSING,NO
2485,,,,,,,,NO,NO,NO
2486,,,,,,,,YES,YES,YES
2487,,,,,,,,YES,YES,YES
2488,,,,,,,,MISSING,YES,YES
2489,,,,,,,,YES,YES,YES
2490,,,,,,,,YES,YES,YES
2491,,,,,,,,YES,YES,YES
2492,,,,,,,,YES,YES,YES
2493,,,,,,,,YES,YES,YES
2494,,,,,,,,YES,YES,YES
2495,,,,,,,,YES,YES,YES
2496,,,,,,,,YES,YES,YES
2497,,,,,,,,YES,YES,YES
2498,,,,,,,,YES,YES,YES
2499,,,,,,,,YES,YES,YES
2500,,,,,,,,YES,YES,YES
2501,,,,,,,,YES,YES,YES
2502,,,,,,,,YES,YES,YES
2503,,,,,,,,YES,YES,YES
2504,,,,,,,,YES,YES,YES
2505,,,,,,,,MISSING,YES,YES
2506,,,,,,,,YES,YES,YES
2507,,,,,,,,YES,YES,YES
2508,,,,,,,,YES,YES,YES
2509,,,,,,,,YES,YES,YES
2510,,,,,,,,YES,YES,YES
2511,,,,,,,,YES,YES,YES
2512,,,,,,,,YES,YES,YES
2513,,,,,,,,YES,YES,YES
2514,,,,,,,,NO,MISSING,NO
2515,,,,,,,,YES,YES,YES
2516,,,,,,,,YES,YES,YES
2517,,,,,,,,MISSING,MISSING,NO
2518,,,,,,,,MISSING,MISSING,NO
2519,,,,,,,,YES,YES,YES
2520,,,,,,,,MISSING,YES,YES
2521,,,,,,,,YES,YES,YES
2522,,,,,,,,YES,YES,YES
2523,,,,,,,,NO,MISSING,NO
2524,,,,,,,,NO,MISSING,NO
2525,,,,,,,,NO,NO,NO
2526,,,,,,,,NO,MISSING,NO
2527,,,,,,,,YES,YES,YES
2528,,,,,,,,YES,YES,YES
2529,,,,,,,,YES,YES,YES
2530,,,,,,,,YES,YES,YES
2531,,,,,,,,YES,YES,YES
2532,,,,,,,,MISSING,YES,YES
2533,,,,,,,,YES,YES,YES
2534,,,,,,,,NO,NO,NO
2535,,,,,,,,MISSING,YES,YES
2536,,,,,,,,MISSING,YES,YES
2537,,,,,,,,YES,YES,YES
2538,,,,,,,,YES,YES,YES
2539,,,,,,,,NO,MISSING,NO
2540,,,,,,,,YES,YES,YES
2541,,,,,,,,MISSING,MISSING,NO
2542,,,,,,,,YES,YES,YES
2543,,,,,,,,MISSING,MISSING,NO
2544,,,,,,,,MISSING,YES,YES
2545,,,,,,,,YES,YES,YES
2546,,,,,,,,YES,YES,YES
2547,,,,,,,,YES,YES,YES
2548,,,,,,,,YES,YES,YES
2549,,,,,,,,YES,YES,YES
2550,,,,,,,,YES,YES,YES
2551,,,,,,,,YES,YES,YES
2552,,,,,,,,YES,YES,YES
2553,,,,,,,,NO,NO,NO
2554,,,,,,,,YES,YES,YES
2555,,,,,,,,YES,YES,YES
2556,,,,,,,,YES,YES,YES
2557,,,,,,,,YES,YES,YES
2558,,,,,,,,YES,YES,YES
2559,,,,,,,,YES,YES,YES
2560,,,,,,,,YES,YES,YES
2561,,,,,,,,YES,YES,YES
2562,,,,,,,,YES,YES,YES
2563,,,,,,,,YES,YES,YES
2564,,,,,,,,YES,YES,YES
2565,,,,,,,,YES,YES,YES
2566,,,,,,,,YES,YES,YES
2567,,,,,,,,YES,YES,YES
2568,,,,,,,,MISSING,MISSING,NO
2569,,,,,,,,YES,YES,YES
2570,,,,,,,,MISSING,YES,YES
2571,,,,,,,,YES,YES,YES
2572,,,,,,,,YES,YES,YES
2573,,,,,,,,YES,YES,YES
2574,,,,,,,,YES,YES,YES
2575,,,,,,,,YES,YES,YES
2576,,,,,,,,YES,YES,YES
2577,,,,,,,,YES,YES,YES
2578,,,,,,,,YES,YES,YES
2579,,,,,,,,YES,YES,YES
2580,,,,,,,,MISSING,YES,YES
2581,,,,,,,,MISSING,YES,YES
2582,,,,,,,,YES,YES,YES
2583,,,,,,,,MISSING,YES,YES
2584,,,,,,,,YES,YES,YES
2585,,,,,,,,YES,YES,YES
2586,,,,,,,,NO,MISSING,NO
2587,,,,,,,,YES,YES,YES
2588,,,,,,,,YES,YES,YES
2589,,,,,,,,YES,YES,YES
2590,,,,,,,,YES,YES,YES
2591,,,,,,,,NO,MISSING,NO
2592,,,,,,,,MISSING,NO,NO
2593,,,,,,,,YES,YES,YES
2594,,,,,,,,YES,YES,YES
2595,,,,,,,,MISSING,YES,YES
2596,,,,,,,,YES,YES,YES
2597,,,,,,,,YES,YES,YES
2598,,,,,,,,YES,YES,YES
2599,,,,,,,,NO,MISSING,NO
2600,,,,,,,,NO,MISSING,NO
2601,,,,,,,,YES,YES,YES
2602,,,,,,,,YES,YES,YES
2603,,,,,,,,YES,YES,YES
2604,,,,,,,,YES,YES,YES
2605,,,,,,,,YES,YES,YES
2606,,,,,,,,YES,YES,YES
2607,,,,,,,,YES,YES,YES
2608,,,,,,,,YES,YES,YES
2609,,,,,,,,YES,YES,YES
2610,,,,,,,,YES,YES,YES
2611,,,,,,,,YES,YES,YES
2612,,,,,,,,YES,YES,YES
2613,,,,,,,,NO,NO,NO
2614,,,,,,,,MISSING,YES,YES
2615,,,,,,,,MISSING,YES,YES
2616,,,,,,,,YES,YES,YES
2617,,,,,,,,NO,MISSING,NO
2618,,,,,,,,MISSING,YES,YES
2619,,,,,,,,YES,YES,YES
2620,,,,,,,,YES,YES,YES
2621,,,,,,,,YES,YES,YES
2622,,,,,,,,YES,YES,YES
2623,,,,,,,,YES,YES,YES
2624,,,,,,,,MISSING,YES,YES
2625,,,,,,,,MISSING,YES,YES
2626,,,,,,,,MISSING,YES,YES
2627,,,,,,,,YES,YES,YES
2628,,,,,,,,YES,YES,YES
2629,,,,,,,,MISSING,MISSING,NO
2630,,,,,,,,YES,YES,YES
2631,,,,,,,,MISSING,YES,YES
2632,,,,,,,,MISSING,YES,YES
2633,,,,,,,,YES,YES,YES
2634,,,,,,,,YES,YES,YES
2635,,,,,,,,YES,YES,YES
2636,,,,,,,,YES,YES,YES
2637,,,,,,,,YES,YES,YES
2638,,,,,,,,YES,YES,YES
2639,,,,,,,,YES,YES,YES
2640,,,,,,,,YES,YES,YES
2641,,,,,,,,YES,YES,YES
2642,,,,,,,,YES,YES,YES
2643,,,,,,,,YES,YES,YES
2644,,,,,,,,YES,YES,YES
2645,,,,,,,,YES,YES,YES
2646,,,,,,,,YES,YES,YES
2647,,,,,,,,MISSING,MISSING,NO
2648,,,,,,,,YES,YES,YES
2649,,,,,,,,YES,YES,YES
2650,,,,,,,,YES,YES,YES
2651,,,,,,,,YES,YES,YES
2652,,,,,,,,YES,YES,YES
2653,,,,,,,,YES,YES,YES
2654,,,,,,,,YES,YES,YES
2655,,,,,,,,NO,NO,NO
2656,,,,,,,,YES,YES,YES
2657,,,,,,,,MISSING,MISSING,NO
2658,,,,,,,,NO,NO,NO
2659,,,,,,,,NO,NO,NO
2660,,,,,,,,MISSING,MISSING,NO
2661,,,,,,,,MISSING,MISSING,NO
2662,,,,,,,,YES,YES,YES
2663,,,,,,,,YES,YES,YES
2664,,,,,,,,YES,YES,YES
2665,,,,,,,,YES,YES,YES
2666,,,,,,,,NO,MISSING,NO
2667,,,,,,,,YES,YES,YES
2668,,,,,,,,NO,MISSING,NO
2669,,,,,,,,NO,MISSING,NO
2670,,,,,,,,YES,YES,YES
2671,,,,,,,,YES,YES,YES
2672,,,,,,,,NO,MISSING,NO
2673,,,,,,,,YES,YES,YES
2674,,,,,,,,YES,YES,YES
2675,,,,,,,,MISSING,YES,YES
2676,,,,,,,,YES,YES,YES
2677,,,,,,,,YES,YES,YES
2678,,,,,,,,MISSING,YES,YES
2679,,,,,,,,MISSING,YES,YES
2680,,,,,,,,YES,YES,YES
2681,,,,,,,,YES,YES,YES
2682,,,,,,,,YES,YES,YES
2683,,,,,,,,YES,YES,YES
2684,,,,,,,,YES,YES,YES
2685,,,,,,,,YES,YES,YES
2686,,,,,,,,YES,YES,YES
2687,,,,,,,,YES,YES,YES
2688,,,,,,,,YES,YES,YES
2689,,,,,,,,YES,YES,YES
2690,,,,,,,,NO,NO,NO
2691,,,,,,,,YES,YES,YES
2692,,,,,,,,YES,YES,YES
2693,,,,,,,,MISSING,MISSING,NO
2694,,,,,,,,NO,MISSING,NO
2695,,,,,,,,YES,YES,YES
2696,,,,,,,,YES,YES,YES
2697,,,,,,,,YES,YES,YES
2698,,,,,,,,YES,YES,YES
2699,,,,,,,,YES,YES,YES
2700,,,,,,,,YES,YES,YES
2701,,,,,,,,NO,MISSING,NO
2702,,,,,,,,NO,NO,NO
2703,,,,,,,,NO,MISSING,NO
2704,,,,,,,,YES,YES,YES
2705,,,,,,,,YES,YES,YES
2706,,,,,,,,YES,YES,YES
2707,,,,,,,,YES,YES,YES
2708,,,,,,,,YES,YES,YES
2709,,,,,,,,YES,YES,YES
2710,,,,,,,,YES,YES,YES
2711,,,,,,,,YES,YES,YES
2712,,,,,,,,YES,YES,YES
2713,,,,,,,,YES,YES,YES
2714,,,,,,,,MISSING,YES,YES
2715,,,,,,,,YES,YES,YES
2716,,,,,,,,YES,YES,YES
2717,,,,,,,,YES,YES,YES
2718,,,,,,,,YES,YES,YES
2719,,,,,,,,YES,YES,YES
2720,,,,,,,,MISSING,YES,YES
2721,,,,,,,,YES,YES,YES
2722,,,,,,,,MISSING,YES,YES
2723,,,,,,,,MISSING,YES,YES
2724,,,,,,,,YES,YES,YES
2725,,,,,,,,MISSING,MISSING,NO
2726,,,,,,,,YES,YES,YES
2727,,,,,,,,NO,MISSING,NO
2728,,,,,,,,YES,YES,YES
2729,,,,,,,,MISSING,YES,YES
2730,,,,,,,,YES,YES,YES
2731,,,,,,,,MISSING,YES,YES
2732,,,,,,,,YES,YES,YES
2733,,,,,,,,YES,YES,YES
2734,,,,,,,,YES,YES,YES
2735,,,,,,,,MISSING,NO,NO
2736,,,,,,,,YES,YES,YES
2737,,,,,,,,NO,MISSING,NO
2738,,,,,,,,YES,YES,YES
2739,,,,,,,,YES,YES,YES
2740,,,,,,,,NO,MISSING,NO
2741,,,,,,,,YES,YES,YES
2742,,,,,,,,MISSING,YES,YES
2743,,,,,,,,YES,YES,YES
2744,,,,,,,,YES,YES,YES
2745,,,,,,,,YES,YES,YES
2746,,,,,,,,YES,YES,YES
2747,,,,,,,,YES,YES,YES
2748,,,,,,,,YES,YES,YES
2749,,,,,,,,MISSING,YES,YES
2750,,,,,,,,MISSING,YES,YES
2751,,,,,,,,YES,YES,YES
2752,,,,,,,,MISSING,YES,YES
2753,,,,,,,,MISSING,YES,YES
2754,,,,,,,,YES,YES,YES
2755,,,,,,,,MISSING,MISSING,NO
2756,,,,,,,,NO,MISSING,NO
2757,,,,,,,,NO,MISSING,NO
2758,,,,,,,,MISSING,MISSING,NO
2759,,,,,,,,MISSING,MISSING,NO
2760,,,,,,,,MISSING,MISSING,NO
2761,,,,,,,,NO,NO,NO
2762,,,,,,,,NO,MISSING,NO
2763,,,,,,,,MISSING,MISSING,NO
2764,,,,,,,,MISSING,MISSING,NO
2765,,,,,,,,MISSING,MISSING,NO
2766,,,,,,,,MISSING,MISSING,NO
2767,,,,,,,,NO,MISSING,NO
2768,,,,,,,,NO,MISSING,NO
2769,,,,,,,,NO,MISSING,NO
2770,,,,,,,,MISSING,MISSING,NO
2771,,,,,,,,NO,MISSING,NO
2772,,,,,,,,NO,MISSING,NO
2773,,,,,,,,NO,MISSING,NO
2774,,,,,,,,NO,MISSING,NO
2775,,,,,,,,MISSING,MISSING,NO
2776,,,,,,,,MISSING,MISSING,NO
2777,,,,,,,,NO,MISSING,NO
2778,,,,,,,,MISSING,MISSING,NO
2779,,,,,,,,NO,MISSING,NO
2780,,,,,,,,NO,MISSING,NO
2781,,,,,,,,NO,MISSING,NO
2782,,,,,,,,NO,MISSING,NO
2783,,,,,,,,NO,MISSING,NO
2784,,,,,,,,MISSING,MISSING,NO
2785,,,,,,,,NO,MISSING,NO
2786,,,,,,,,NO,MISSING,NO
2787,,,,,,,,NO,MISSING,NO
2788,,,,,,,,NO,MISSING,NO
2789,,,,,,,,NO,MISSING,NO
2790,,,,,,,,NO,MISSING,NO
2791,,,,,,,,NO,MISSING,NO
2792,,,,,,,,MISSING,MISSING,NO
2793,,,,,,,,NO,NO,NO
2794,,,,,,,,NO,MISSING,NO
2795,,,,,,,,NO,MISSING,NO
2796,,,,,,,,NO,MISSING,NO
2797,,,,,,,,NO,MISSING,NO
2798,,,,,,,,MISSING,MISSING,NO
2799,,,,,,,,NO,MISSING,NO
2800,,,,,,,,NO,MISSING,NO
2801,,,,,,,,NO,MISSING,NO
2802,,,,,,,,YES,YES,YES
2803,,,,,,,,YES,YES,YES
2804,,,,,,,,YES,YES,YES
2805,,,,,,,,NO,NO,NO
2806,,,,,,,,YES,YES,YES
2807,,,,,,,,YES,YES,YES
2808,,,,,,,,YES,YES,YES
2809,,,,,,,,YES,YES,YES
2810,,,,,,,,YES,YES,YES
2811,,,,,,,,YES,YES,YES
2812,,,,,,,,YES,YES,YES
2813,,,,,,,,YES,YES,YES
2814,,,,,,,,YES,YES,YES
2815,,,,,,,,YES,YES,YES
2816,,,,,,,,YES,YES,YES
2817,,,,,,,,YES,YES,YES
2818,,,,,,,,NO,NO,NO
2819,,,,,,,,YES,YES,YES
2820,,,,,,,,MISSING,YES,YES
2821,,,,,,,,MISSING,MISSING,NO
2822,,,,,,,,MISSING,MISSING,NO
2823,,,,,,,,MISSING,NO,NO
2824,,,,,,,,NO,NO,NO
2825,,,,,,,,MISSING,YES,YES
2826,,,,,,,,YES,YES,YES
2827,,,,,,,,YES,YES,YES
2828,,,,,,,,YES,YES,YES
2829,,,,,,,,YES,YES,YES
2830,,,,,,,,YES,YES,YES
2831,,,,,,,,MISSING,MISSING,NO
2832,,,,,,,,MISSING,YES,YES
2833,,,,,,,,NO,MISSING,NO
2834,,,,,,,,MISSING,YES,YES
2835,,,,,,,,MISSING,YES,YES
2836,,,,,,,,MISSING,MISSING,NO
2837,,,,,,,,YES,YES,YES
2838,,,,,,,,YES,YES,YES
2839,,,,,,,,YES,YES,YES
2840,,,,,,,,YES,YES,YES
2841,,,,,,,,YES,YES,YES
2842,,,,,,,,YES,YES,YES
2843,,,,,,,,YES,YES,YES
2844,,,,,,,,YES,YES,YES
2845,,,,,,,,MISSING,YES,YES
2846,,,,,,,,NO,MISSING,NO
2847,,,,,,,,YES,YES,YES
2848,,,,,,,,NO,NO,NO
2849,,,,,,,,MISSING,YES,YES
2850,,,,,,,,NO,NO,NO
2851,,,,,,,,YES,YES,YES
2852,,,,,,,,NO,MISSING,NO
2853,,,,,,,,NO,NO,NO
2854,,,,,,,,YES,YES,YES
2855,,,,,,,,YES,YES,YES
2856,,,,,,,,MISSING,YES,YES
2857,,,,,,,,YES,YES,YES
2858,,,,,,,,YES,YES,YES
2859,,,,,,,,YES,YES,YES
2860,,,,,,,,YES,YES,YES
2861,,,,,,,,YES,YES,YES
2862,,,,,,,,YES,YES,YES
2863,,,,,,,,NO,MISSING,NO
2864,,,,,,,,YES,YES,YES
2865,,,,,,,,MISSING,MISSING,NO
2866,,,,,,,,NO,NO,NO
2867,,,,,,,,NO,MISSING,NO
2868,,,,,,,,MISSING,MISSING,NO
2869,,,,,,,,YES,YES,YES
2870,,,,,,,,NO,MISSING,NO
2871,,,,,,,,MISSING,YES,YES
2872,,,,,,,,NO,MISSING,NO
2873,,,,,,,,MISSING,MISSING,NO
2874,,,,,,,,NO,NO,NO
2875,,,,,,,,MISSING,MISSING,NO
2876,,,,,,,,MISSING,YES,YES
2877,,,,,,,,YES,YES,YES
2878,,,,,,,,YES,YES,YES
2879,,,,,,,,YES,YES,YES
2880,,,,,,,,MISSING,YES,YES
2881,,,,,,,,YES,YES,YES
2882,,,,,,,,YES,YES,YES
2883,,,,,,,,NO,MISSING,NO
2884,,,,,,,,YES,YES,YES
2885,,,,,,,,NO,MISSING,NO
2886,,,,,,,,YES,YES,YES
2887,,,,,,,,YES,YES,YES
2888,,,,,,,,YES,YES,YES
2889,,,,,,,,YES,YES,YES
2890,,,,,,,,YES,YES,YES
2891,,,,,,,,NO,MISSING,NO
2892,,,,,,,,YES,YES,YES
2893,,,,,,,,YES,YES,YES
2894,,,,,,,,YES,YES,YES
2895,,,,,,,,YES,YES,YES
2896,,,,,,,,NO,MISSING,NO
2897,,,,,,,,YES,YES,YES
2898,,,,,,,,YES,YES,YES
2899,,,,,,,,NO,NO,NO
2900,,,,,,,,NO,MISSING,NO
2901,,,,,,,,YES,YES,YES
2902,,,,,,,,YES,YES,YES
2903,,,,,,,,YES,YES,YES
2904,,,,,,,,YES,YES,YES
