CAS,Deprecated CAS
"50-99-7, 492-62-6, 2280-44-6, 54-17-1, 18991-62-3, 26655-34-5, 1227096-09-4","26655-34-5, 95671-82-2, 111688-73-4, 162222-91-5, 165659-51-8, 2095624-06-7, 50933-92-1, 8012-24-6, 80206-31-1, 8030-23-7, 111688-73-4, 162222-91-5, 165659-51-8, 2280-44-6, 8012-24-6, 80206-31-1, 8030-23-7"
"56-85-9, 26700-71-0, 6899-04-3, 5569-98-2","2087491-51-6, 32640-56-5"
"111-30-8, 5337-49-5, 5337-48-4, 5333-22-2","107950-89-0, 1428979-54-7, 1497435-71-8, 37245-61-7, 79215-57-9, 107950-89-0, 79215-57-9"
"11099-07-3, 123-94-4, 31566-31-1, 85666-92-8, 91052-47-0, 14811-92-8, 83138-62-9, 22610-63-5","22610-63-5, 342394-34-7, 100041-47-2, 109767-98-8, 110618-11-6, 119758-60-0, 12676-39-0, 1319-95-5, 1361318-46-8, 146586-29-0, 150605-03-1, 1617532-55-4, 176365-67-6, 177645-80-6, 200138-94-9, 2025308-77-2, 209533-94-8, 37297-05-5, 413576-89-3, 55962-68-0, 58615-57-9, 61163-94-8, 64366-44-5, 69073-02-5, 696587-54-9, 8029-22-9, 8039-58-5, 8045-31-6, 8050-92-8, 86904-15-6, 87714-32-7, 902145-16-8, 1256243-35-2, 1256243-36-3, 187887-27-0, 375375-69-2, 477720-23-3, 643010-62-2, 863307-20-4, 863307-22-6, 863307-23-7, 863308-46-7, 863308-48-9, 22610-63-5, 2413191-13-4, 342394-34-7, 136626-20-5, 37219-93-5, 37220-83-0, 37271-86-6, 37318-98-2, 39468-00-3, 8067-25-2, 864063-89-8, 902146-84-3, 109767-98-8, 110618-11-6, 119758-60-0, 12676-39-0, 1319-95-5, 146586-29-0, 150605-03-1, 1617532-55-4, 176365-67-6, 177645-80-6, 200138-94-9, 209533-94-8, 37297-05-5, 413576-89-3, 55962-68-0, 58615-57-9, 61163-94-8, 64366-44-5, 69073-02-5, 696587-54-9, 8029-22-9, 8039-58-5, 8045-31-6, 8050-92-8, 86904-15-6, 87714-32-7, 902145-16-8, 31566-31-1"
"84775-66-6, 977004-31-1",84837-12-7
1405-86-3,"1208112-19-9, 139014-59-8, 18933-02-3, 31261-47-9, 47897-45-0, 47897-48-3, 70055-50-4, 79165-07-4, 947339-02-8, 139014-59-8, 18933-02-3, 31261-47-9, 47897-45-0, 47897-48-3, 70055-50-4, 79165-07-4, 947339-02-8"
"90-05-1, 8021-39-4, 9009-62-5, 26638-03-9, 28930-19-0",
40580-59-4,
118-56-9,"194304-23-9, 50610-40-7, 52253-93-7, 8045-71-4"
9004-61-9,"1257406-45-3, 1357910-24-7, 1444006-49-8, 1623804-64-7, 1623804-65-8, 165324-65-2, 29382-75-0, 37243-73-5, 9039-38-7, 953845-54-0, 953845-55-1, 953845-56-2, 953845-57-3, 1257406-45-3, 1357910-24-7, 1444006-49-8, 29382-75-0, 37243-73-5, 9039-38-7, 953845-54-0, 953845-55-1, 953845-56-2, 953845-57-3"
135-09-1,
118-42-3,"117456-74-3, 25526-45-8"
15687-27-1,"139466-08-3, 58560-75-1, 58560-75-1"
N/A,
154248-97-2,
50-49-7,
"312753-06-3, 753498-25-8",870265-20-6
26807-65-8,49564-58-1
