New CAS,New Deprecated CAS
"471-34-1, 13701-58-1, 977032-78-2, 13397-26-7, 72608-12-9, 1317-65-3","1118543-25-1, 114453-69-9, 1312764-88-7, 1352815-51-0, 137803-94-2, 1437084-75-7, 146358-95-4, 148092-93-7, 1641572-50-0, 166516-01-4, 172307-27-6, 180616-31-3, 1883798-64-8, 197809-38-4, 198352-33-9, 1994316-62-9, 2222732-78-5, 2390374-02-2, 2470702-35-1, 251358-28-8, 39454-55-2, 459411-10-0, 60083-79-6, 63660-97-9, 71060-88-3, 72608-12-9, 878759-26-3, 1118543-25-1, 114453-69-9, 1312764-88-7, 1352815-51-0, 137803-94-2, 1437084-75-7, 146358-95-4, 148092-93-7, 1641572-50-0, 166516-01-4, 172307-27-6, 180616-31-3, 1883798-64-8, 197809-38-4, 198352-33-9, 1994316-62-9, 2222732-78-5, 2390374-02-2, 2470702-35-1, 251358-28-8, 2962051-70-1, 3018125-28-2, 39454-55-2, 459411-10-0, 60083-79-6, 63660-97-9, 71060-88-3, 72608-12-9, 878759-26-3, 114453-69-9, 1352815-51-0, 137803-94-2, 1437084-75-7, 146358-95-4, 148092-93-7, 15187-75-4, 166516-01-4, 172307-27-6, 180616-31-3, 197809-38-4, 198352-33-9, 251358-28-8, 39454-55-2, 459411-10-0, 60083-79-6, 63660-97-9, 71060-88-3, 72608-12-9, 878759-26-3, 1317-65-3; 13397-26-7; 287389-46-2"
91-75-8,
977007-26-3,
N/A,
"69-72-7, 8042-60-2","1186130-36-8, 7681-06-3, 8052-31-1, 1186130-36-8, 8052-31-1"
N/A,
"69-72-7, 8042-60-2","1186130-36-8, 7681-06-3, 8052-31-1, 1186130-36-8, 8052-31-1"
N/A,
"10043-35-3, 11113-50-1, 10043-35-3
11113-50-1, 13813-79-1","11113-50-1, 12795-04-9, 2253722-08-4, 30698-98-7, 12795-04-9, 2253722-08-4, 30698-98-7, 12795-04-9, 30698-98-7"
"58-73-1, 147-24-0",2226543-89-9
"7440-36-0, 7803-52-3, 21879-61-8","117011-47-9, 73063-67-9"
N/A,
N/A,N/A
N/A,N/A
N/A,
9000-94-6,
956104-40-8,1361232-32-7
N/A,N/A
N/A,
N/A,
503612-47-3,
N/A,
N/A,
"58-00-4, 314-19-2, 41372-20-7",
"69-72-7, 8042-60-2","1186130-36-8, 7681-06-3, 8052-31-1, 1186130-36-8, 8052-31-1"
66711-21-5,
608141-41-9,666854-78-0
170729-80-3,221350-96-5
9087-70-1,"11005-72-4, 11132-77-7, 39283-52-8, 69431-34-1, 9004-04-0, 9039-77-4"
9036-66-2,"113956-37-9, 37280-16-3, 98530-09-7"
N/A,
N/A,
N/A,
91745-67-4,
N/A,
N/A,
9041-08-1,"101921-26-0, 102785-31-9, 12656-11-0, 913079-23-9"
"67346-49-0, 73573-87-2","208102-40-3, 289657-27-8, 299964-45-7, 126587-85-7, 183814-29-1, 49861-99-6, 289657-27-8, 299964-45-7"
N/A,
"74863-84-6, 121785-71-5",
"74-79-3, 1119-34-2, 4455-52-1, 7200-25-1","1332377-47-5, 142-49-4, 154605-63-7, 154605-67-1, 667422-95-9, 7004-12-8"
"129722-12-9, 851220-85-4",
1259305-29-7,
112111-43-0,
N/A,
"7440-38-2, 7784-42-1","39277-51-5, 55624-62-9"
71963-77-4,159573-83-8
1362-42-1,
23964-58-1,
7681-49-4,"2018280-11-8, 39287-69-9, 59217-75-3, 67112-29-2, 59217-75-3, 67112-29-2"
84775-78-0,
"50-81-7, 6730-29-6, 53262-66-1, 62624-30-0, 24808-52-4, 89924-69-6","1018124-03-2, 1129294-89-8, 129940-97-2, 1428525-25-0, 14536-17-5, 154170-90-8, 1703051-92-6, 259133-78-3, 30208-61-8, 50976-75-5, 56172-55-5, 56533-05-2, 57304-74-2, 57606-40-3, 623158-95-2, 882690-91-7, 884381-69-5, 885512-24-3, 88845-26-5, 896436-13-8, 89924-69-6, 1018124-03-2, 1129294-89-8, 129940-97-2, 1428525-25-0, 14536-17-5, 154170-90-8, 1703051-92-6, 2252244-20-3, 259133-78-3, 2635329-14-3, 30208-61-8, 50976-75-5, 56172-55-5, 56533-05-2, 57304-74-2, 57606-40-3, 623158-95-2, 882690-91-7, 884381-69-5, 885512-24-3, 88845-26-5, 896436-13-8, 89924-69-6, 1018124-03-2, 129940-97-2, 1428525-25-0, 14536-17-5, 154170-90-8, 1703051-92-6, 259133-78-3, 30208-61-8, 50976-75-5, 56172-55-5, 56533-05-2, 57304-74-2, 57606-40-3, 882690-91-7, 884381-69-5, 885512-24-3, 88845-26-5, 89924-69-6"
"65576-45-6, 65576-39-8",
1174277-80-5,
N/A,N/A
9015-68-3,"9037-33-6, 9037-34-7, 9060-77-9, 9037-34-7, 9060-77-9"
N/A,
"22839-47-0, 7421-84-3","172964-81-7, 53906-69-7, 7421-84-3, 53906-69-7, 7421-84-3"
"56-84-8, 39162-75-9, 617-45-8, 25608-40-6, 145224-96-0, 6899-03-2, 34345-47-6, 55443-54-4","181119-33-5, 2139279-07-3, 6899-03-2, 874742-68-4, 1236300-18-7, 1393950-57-6, 1436923-03-3, 155436-59-2, 155436-61-6, 155436-63-8, 155436-65-0, 181119-34-6, 2197132-19-5, 221628-95-1, 26834-87-7, 90819-17-3, 181119-33-5"
472-61-7,
68844-77-9,
486-66-8,
198904-31-3,
"29122-68-7, 60966-51-0","106020-65-9, 60966-51-0"
1380723-44-3,1422185-06-5
"83015-26-3, 82248-59-7",
"134523-00-5, 134523-03-8, 344423-98-9",
"94015-53-9, 95233-18-4",
64228-81-5,
8007-93-0,"8027-38-1, 8047-00-5, 84649-94-5, 95009-19-1"
51-55-8,"1445960-43-9, 78597-12-3"
12174-11-7,"12174-28-6, 1337-76-4, 137546-91-9, 37189-50-7, 61180-55-0, 64418-16-2, 71396-54-8, 1337-76-4, 137546-91-9, 37189-50-7, 61180-55-0, 64418-16-2, 71396-54-8"
34031-32-8,
"10236-47-2, 977038-87-1","10236-69-8, 109010-50-6, 11032-31-8, 1675240-74-0, 17784-35-9, 30174-44-8, 30552-25-1, 38664-96-9, 10236-69-8, 109010-50-6, 11032-31-8, 17784-35-9, 30174-44-8, 30552-25-1"
12192-57-3,
"12244-57-4, 33796-26-8",
330784-47-9,"330785-17-6, 647841-09-6"
570406-98-3,
1537032-82-8,
N/A,
"1192500-31-4, 396731-14-9",794508-22-8
70356-09-1,"112725-59-4, 185160-18-3, 87075-14-7, 112725-59-4, 185160-18-3"
"319460-85-0, 1528729-60-3",790713-39-2
320-67-2,
25990-37-8,
3964-81-6,
446-86-6,
"123-99-9, 26776-28-3","1219811-33-2, 32733-99-6"
58581-89-8,153483-42-2
863031-21-4,
83905-01-5,"104491-80-7, 142556-82-9, 142556-82-9"
"78110-38-0, 99341-02-3",
"83-46-5, 5779-62-4","15764-35-9, 182512-23-8, 76772-70-8, 8003-23-4"
N/A,
"64-17-5, 2154-50-9, 2348-46-1","121182-78-3, 8000-16-6, 8024-45-1, 8000-16-6, 8024-45-1"
N/A,
"7704-34-9, 56996-94-2, 9035-99-8, 10544-50-0","1251749-91-3, 12673-82-4, 12684-31-0, 12767-24-7, 1819329-88-8, 56449-52-6, 56591-09-4, 56645-30-8, 57035-13-9, 63705-05-5, 7782-45-8, 8050-82-6, 81032-32-8, 97124-07-7, 12684-31-0, 12767-24-7, 56449-52-6, 56591-09-4, 56645-30-8, 57035-13-9, 63705-05-5, 7782-45-8, 8050-82-6, 81032-32-8, 97124-07-7, 7704-34-9"
N/A,
68038-65-3,
"1405-87-4, 22601-59-8","12640-37-8, 1405-75-0, 60454-67-3, 1405-75-0, 60454-67-3"
"1134-47-0, 66514-99-6",
N/A,
1985606-14-1,
80573-04-2,
N/A,
N/A,
57-44-3,"145630-92-8, 53527-29-0, 6599-82-2"
1187594-09-7,"1231199-29-3, 1374987-77-5"
7440-39-3,13981-97-0
N/A,
179045-86-4,
N/A,
198481-32-2,
165101-51-9,
4419-39-0,
"843663-66-1, 654653-93-7",
706808-37-9,
356547-88-1,
"866323-14-0, 414864-00-9",
N/A,
"86541-75-5, 86499-21-0",
16506-27-7,
73-48-3,96782-79-5
1044511-01-4,
1302-78-9,"10043-07-9, 11004-12-9, 115628-71-2, 12198-92-4, 12199-69-8, 1291095-98-1, 135945-01-6, 1549927-09-4, 2169996-08-9, 2480040-72-8, 37320-72-2, 52623-66-2, 850872-77-4, 868047-51-2"
1340-69-8,
100-51-6,"1336-27-2, 185532-71-2, 2263936-23-6, 2565578-76-7, 185532-71-2"
86-13-5,
"121-54-0, 5929-09-9","324034-09-5, 39362-38-4, 39362-38-4"
"94-09-7, 9011-18-1","1865741-16-7, 71123-91-6, 207464-10-6, 50935-35-8, 57972-02-8"
65-85-0,"2244876-11-5, 331473-08-6, 8013-63-6, 8013-63-6"
"104-31-4, 32760-16-0",
119-61-9,"1711678-21-5, 445389-89-9, 852361-03-6"
86-75-9,
94-36-0,"117989-71-6, 132323-44-5, 143928-58-9, 37370-29-9, 117989-71-6, 132323-44-5, 143928-58-9"
156-08-1,
100-51-6,"1336-27-2, 185532-71-2, 2263936-23-6, 2565578-76-7, 185532-71-2"
120-51-4,
125602-71-3,
64706-54-3,
108778-82-1,
N/A,
141388-76-3,
7235-40-7,"116-32-5, 2321332-51-6, 31797-85-0, 116-32-5, 2321332-51-6, 2519474-91-8, 31797-85-0, 116-32-5"
5638-76-6,
"107-43-7, 52921-08-1","11042-12-9, 24980-93-6, 45631-77-4, 590-30-7"
378-44-9,
63659-18-7,
N/A,
674-38-4,
330942-05-7,
216974-75-3,
153559-49-0,
1246264-45-8,
"90357-06-5, 113299-40-4",
1611493-60-7,
N/A,
N/A,
N/A,
N/A,
N/A,
N/A,
N/A,
N/A,
155206-00-1,267244-98-4
"606143-89-9, 120168-50-5","1073666-70-2, 1201685-05-3, 1417448-81-7"
"153-18-4, 1340-08-5, 207671-50-9, 250249-75-3","115888-40-9, 1296849-98-3, 1416-01-9, 146525-66-8, 158560-09-9, 164535-43-7, 18449-50-8, 48197-72-4, 523994-24-3, 56764-99-9, 115888-40-9, 1296849-98-3, 146525-66-8, 158560-09-9, 164535-43-7, 18449-50-8, 48197-72-4, 523994-24-3, 56764-99-9"
"58-85-5, 56846-45-8","15720-24-8, 22879-79-4, 3672-05-7, 58073-87-3"
514-65-8,
603-50-9,
7440-69-9,"24267-48-9, 25243-76-9"
"66722-44-9, 104344-23-2",
30392-40-6,
128270-60-0,
11056-06-7,"1400-95-9, 37208-04-1, 37293-16-6, 37353-43-8"
853426-35-4,
N/A,
N/A,
394730-60-0,
N/A,
"10043-35-3, 11113-50-1, 10043-35-3
11113-50-1, 13813-79-1","11113-50-1, 12795-04-9, 2253722-08-4, 30698-98-7, 12795-04-9, 2253722-08-4, 30698-98-7, 12795-04-9, 30698-98-7"
N/A,
179324-69-7,"197730-97-5, 1610526-91-4"
147536-97-8,174227-18-0
380843-75-4,
N/A,
N/A,
N/A,
173740-48-2,
N/A,
N/A,N/A
914088-09-8,
59-41-6,
"913611-97-9, 1427049-19-1",
1197953-54-0,"1350848-43-9, 1574359-10-6"
633-03-4,"1051370-53-6, 56730-57-5, 70165-37-6, 820975-89-1, 98712-72-2"
59803-98-4,
138890-62-7,
357336-20-0,
1174395-19-7,
"118-23-0, 1808-12-4",
N/A,
"91714-94-2, 120638-55-3",
7726-95-6,23724-81-4
25614-03-3,
86-22-6,"156428-33-0, 32188-07-1, 32188-07-1"
52-51-7,"1135443-73-0, 133248-96-1, 179733-60-9, 133248-96-1, 179733-60-9"
N/A,
"51333-22-3, 51372-29-3",
28395-03-1,
"38396-39-3, 2180-92-9, 1217442-06-2",2180-92-9
52485-79-7,
"34911-55-2, 144445-76-1, 144445-75-0, 34841-39-9",34841-39-9
1610833-03-8,
36505-84-7,
"55-98-1, 29166-53-8",
22131-35-7,
77-26-9,
101828-21-1,
"64872-76-0, 64872-77-1","67085-13-6, 85496-23-7, 85496-23-7"
"42408-82-2, 58786-99-5",
"25013-16-5, 121-00-6, 921-00-6","1341-82-8, 1336-31-8, 37349-77-2, 56587-66-7, 57534-28-8, 8003-24-5, 8041-81-4, 9009-68-1"
94-25-7,
N/A,
94-26-8,"1350551-41-5, 8068-49-3"
N/A,
"80295-38-1, 1018837-94-9",81295-50-3
183133-96-2,890654-44-1
81409-90-7,
849217-68-1,
N/A,
94820-09-4,
8013-10-3,
"58-08-2, 95789-13-2","71701-02-5, 95789-13-2"
N/A,
"8011-96-9, 12063-19-3","1005291-42-8, 116094-82-7, 1225184-29-1, 1314527-00-8, 1331731-79-3, 1353745-31-9, 1363177-45-0, 1415015-81-4, 1419872-41-5, 1435443-98-3, 1555944-40-5, 1639052-09-7, 164250-66-2, 1662679-23-3, 1884263-09-5, 263842-41-7, 548491-80-1, 651053-04-2, 71615-25-3, 745830-57-3, 882315-44-8"
N/A,
"19356-17-3, 64719-49-9, 63283-36-3","1384584-62-6, 25631-40-7, 1384584-62-6"
"112965-21-6, 112828-00-9",112828-00-9
"9007-12-9, 47931-85-1, 135506-95-5",
32222-06-3,"1000873-74-4, 125338-24-1, 69878-52-0, 1000873-74-4, 125338-24-1"
7440-70-2,8047-59-4
"1492-18-8, 6035-45-6, 80433-71-2","1236362-90-5, 30771-29-0, 6035-86-5, 6209-45-6"
80433-71-2,
26560-38-3,
N/A,
"183325-78-2, 151437-98-8",151437-98-8
N/A,
474-62-4,
"464-48-2, 76-22-2, 464-49-3, 8008-51-3, 21368-68-3","68546-28-1, 21368-68-3, 48113-22-0, 8013-55-6, 8022-77-3, 21368-68-3, 8013-55-6, 8022-77-3"
842133-18-0,
"914613-48-2, 402710-25-2, 402710-27-4",
145040-37-5,
N/A,
N/A,
163706-06-7,
"13956-29-1, 3556-78-3","35542-48-4, 18436-46-9, 20547-66-4, 521-37-9"
56-25-7,1351357-43-1
56-25-7,1351357-43-1
154361-50-9,"158798-73-3, 958887-39-3"
915810-67-2,
11003-38-6,
N/A,
404-86-4,912457-62-6
977007-72-9,
8023-77-6,
62571-86-2,"138452-88-7, 225661-74-5, 70903-77-4"
N/A,
77-22-5,
N/A,
51-83-2,
298-46-4,
4697-36-3,"13822-29-2, 24003-65-4, 38321-00-5, 69487-18-9, 802025-71-4"
"28860-95-9, 38821-49-7","27925-91-3, 31823-41-3"
486-16-8,59811-38-0
111-90-0,
"638-23-3, 25390-17-4, 2387-59-9","11139-64-3, 2387-59-9"
"50-99-7, 492-62-6, 2280-44-6, 54-17-1, 18991-62-3, 26655-34-5, 1227096-09-4","26655-34-5, 95671-82-2, 111688-73-4, 162222-91-5, 165659-51-8, 2095624-06-7, 50933-92-1, 8012-24-6, 80206-31-1, 8030-23-7, 111688-73-4, 162222-91-5, 165659-51-8, 2280-44-6, 8012-24-6, 80206-31-1, 8030-23-7"
"9003-01-4, 79-10-7, 59913-86-9, 57916-92-4, 192230-55-0, 25987-55-7, 1204391-75-2, 9063-87-0","1265528-53-7, 1453489-99-0, 1644624-02-1, 166941-59-9, 1703019-10-6, 1873349-31-5, 2015239-27-5, 211862-52-1, 2133361-51-8, 55927-87-2, 101360-15-0, 104625-85-6, 104922-39-6, 105913-47-1, 11132-69-7, 118168-84-6, 1243262-39-6, 125857-68-3, 125857-69-4, 131094-47-8, 1356242-46-0, 1422717-48-3, 1454600-56-6, 1465827-28-4, 1621008-43-2, 1621388-50-8, 1621388-51-9, 165724-08-3, 1663486-92-7, 168564-56-5, 169799-28-4, 170473-89-9, 174594-09-3, 1802847-92-2, 1854105-15-9, 2015227-48-0, 2055985-44-7, 2080340-46-9, 2169901-86-2, 223508-97-2, 2241078-05-5, 230287-43-1, 2650494-19-0, 2946725-66-0, 37241-23-9, 39341-22-5, 471251-42-0, 51142-25-7, 54578-44-8, 54990-82-8, 55492-72-3, 56747-65-0, 59233-19-1, 597551-81-0, 65742-16-7, 71767-27-6, 71767-28-7, 746620-96-2, 746620-98-4, 81031-52-9, 82446-45-5, 82446-46-6, 87913-02-8, 88650-89-9, 925683-30-3, 1265528-53-7, 1453489-99-0, 1644624-02-1, 166941-59-9, 1703019-10-6, 1873349-31-5, 2015239-27-5, 211862-52-1"
"463-79-6, 22719-67-1, 71-52-3","1185770-84-6, 792143-57-8, 97328-76-2"
N/A,
N/A,
"35700-23-3, 59286-19-0",
N/A,
868540-17-4,
1188-38-1,
"9001-73-4, 108333-82-0","125054-90-2, 8050-04-2, 8057-83-8, 9002-59-9, 9086-65-1"
35531-88-5,
839712-12-8,955400-75-6
78-44-4,8053-63-2
"9000-11-7, 9004-32-4","1125619-15-9, 177317-30-5, 191616-54-3, 196886-89-2, 204336-41-4"
154-93-8,"1159711-15-5, 1191292-23-5"
