New CAS,New Deprecated CAS
478296-72-9,791632-57-0
113662-23-0,
770691-21-9,138071-82-6
131410-48-5,
201688-00-8,
80529-93-7,
72573-82-1,131330-52-4
120066-54-8,909570-46-3
131069-91-5,
135326-11-3,
"59-23-4, 10257-28-0, 26566-61-0","147-76-2, 3812-56-4, 400876-94-0, 790999-92-7, 39665-52-6, 3646-73-9; 10257-28-0; 19217-07-3"
"357-70-0, 23173-12-8","1008759-59-8, 1551-02-6, 736-79-8, 1354-74-1, 27501-22-0"
1578199-75-3,
"7440-55-3, 15091-79-9",
N/A,
552858-79-4,
506-26-3,
82410-32-0,"106931-35-5, 86357-12-2, 96551-29-0, 106931-35-5, 96551-29-0"
124904-93-4,123246-29-7
N/A,
77-92-9,"1192555-95-5, 12262-73-6, 136108-93-5, 2023788-69-2, 245654-34-6, 43136-35-2, 623158-96-3, 856568-15-5, 878903-72-1, 890704-54-8, 896506-46-0, 906507-37-7, 1192555-95-5, 136108-93-5, 2023788-69-2, 245654-34-6, 43136-35-2, 623158-96-3, 856568-15-5, 878903-72-1, 890704-54-8, 896506-46-0, 906507-37-7"
107390-08-9,
3380-34-5,"112099-35-1, 1155174-27-8, 164325-69-3, 261921-78-2, 88032-08-0"
N/A,
112811-59-3,160738-57-8
N/A,
184475-35-2,
9000-70-8,"239074-97-6, 39340-57-3, 8052-24-2, 9013-63-2, 945651-70-7, 97343-33-4, 39340-57-3, 8052-24-2, 9013-63-2, 945651-70-7, 97343-33-4"
84650-08-8,
95058-81-4,1239668-67-7
25812-30-0,
"175463-14-6, 210353-54-1","204519-64-2, 210353-52-9, 214346-11-9"
220578-59-6,300379-19-5
"50-99-7, 492-62-6, 2280-44-6, 54-17-1, 18991-62-3, 26655-34-5, 1227096-09-4","26655-34-5, 95671-82-2, 111688-73-4, 162222-91-5, 165659-51-8, 2095624-06-7, 50933-92-1, 8012-24-6, 80206-31-1, 8030-23-7, 111688-73-4, 162222-91-5, 165659-51-8, 2280-44-6, 8012-24-6, 80206-31-1, 8030-23-7"
"446-72-0, 690224-00-1",944110-99-0
1403-66-3,
N/A,
84650-10-2,
N/A,
1254053-43-4,
90045-36-6,
1095173-27-5,
147245-92-9,943513-95-9
1365970-03-1,
10238-21-8,
21187-98-4,
93479-97-1,
29094-61-9,"172964-66-8, 29094-66-4, 38777-27-4"
"9007-92-5, 16941-32-5","12709-67-0, 37307-57-6, 37328-81-7, 82905-30-4, 1015835-34-3, 11025-50-6, 1355953-05-7, 17084-65-0, 35-25-6, 81217-71-2"
72626-61-0,
9074-87-7,"111070-04-3, 37279-02-0, 55326-32-4, 61584-57-4"
76081-94-2,
"526-95-4, 19222-41-4, 133-42-6, 10024-51-8, 10361-31-6","723724-74-1, 880385-91-1, 887830-55-9"
"3416-24-8, 90-77-7","1261161-52-7, 149014-32-4, 1684434-48-7, 2351-15-7, 58-87-7, 58267-75-7, 880765-44-6, 911653-84-4, 1261161-52-7, 149014-32-4, 2351-15-7, 58-87-7, 58267-75-7, 880765-44-6, 911653-84-4, 90-77-7; 34948-66-8"
"50-99-7, 492-62-6, 2280-44-6, 54-17-1, 18991-62-3, 26655-34-5, 1227096-09-4","26655-34-5, 95671-82-2, 111688-73-4, 162222-91-5, 165659-51-8, 2095624-06-7, 50933-92-1, 8012-24-6, 80206-31-1, 8030-23-7, 111688-73-4, 162222-91-5, 165659-51-8, 2280-44-6, 8012-24-6, 80206-31-1, 8030-23-7"
64-77-7,100735-34-0
N/A,
"9001-37-0, 492-61-5, 9064-51-1, 133947-06-5, 136760-05-9","108942-17-2, 28905-12-6, 492-64-8, 50986-29-3, 53991-51-8, 9051-05-2, 108942-17-2, 28905-12-6, 50986-29-3, 53991-51-8"
32449-92-6,"10030-64-5, 3428-13-5, 4214-08-8, 63-29-6, 6814-06-8, 10030-64-5, 3428-13-5, 4214-08-8, 6814-06-8"
"56-86-0, 617-65-2, 25513-46-6","10549-13-0, 138-16-9, 2087491-17-4, 6899-05-4, 10549-13-0, 6899-05-4, 6899-05-4"
"56-85-9, 26700-71-0, 6899-04-3, 5569-98-2","2087491-51-6, 32640-56-5"
"111-30-8, 5337-49-5, 5337-48-4, 5333-22-2","107950-89-0, 1428979-54-7, 1497435-71-8, 37245-61-7, 79215-57-9, 107950-89-0, 79215-57-9"
70-18-8,"1109226-07-4, 1655518-50-5, 1109226-07-4"
"25618-55-7, 56-81-5, 977091-53-4, 74899-87-9, 7091-73-8, 144086-03-3, 8013-25-0, 30918-77-5","1400594-62-8, 1422250-43-8, 1629856-20-7, 29796-42-7, 30049-52-6, 37228-54-9, 75398-78-6, 78630-16-7, 8013-25-0, 1400594-62-8, 1422250-43-8, 29796-42-7, 30049-52-6, 30918-77-5, 37228-54-9, 78630-16-7, 8013-25-0"
611168-24-2,
"57-03-4, 27082-31-1","1509-81-5, 626-73-3, 626-73-3"
"11099-07-3, 123-94-4, 31566-31-1, 85666-92-8, 91052-47-0, 14811-92-8, 83138-62-9, 22610-63-5","22610-63-5, 342394-34-7, 100041-47-2, 109767-98-8, 110618-11-6, 119758-60-0, 12676-39-0, 1319-95-5, 1361318-46-8, 146586-29-0, 150605-03-1, 1617532-55-4, 176365-67-6, 177645-80-6, 200138-94-9, 2025308-77-2, 209533-94-8, 37297-05-5, 413576-89-3, 55962-68-0, 58615-57-9, 61163-94-8, 64366-44-5, 69073-02-5, 696587-54-9, 8029-22-9, 8039-58-5, 8045-31-6, 8050-92-8, 86904-15-6, 87714-32-7, 902145-16-8, 1256243-35-2, 1256243-36-3, 187887-27-0, 375375-69-2, 477720-23-3, 643010-62-2, 863307-20-4, 863307-22-6, 863307-23-7, 863308-46-7, 863308-48-9, 22610-63-5, 2413191-13-4, 342394-34-7, 136626-20-5, 37219-93-5, 37220-83-0, 37271-86-6, 37318-98-2, 39468-00-3, 8067-25-2, 864063-89-8, 902146-84-3, 109767-98-8, 110618-11-6, 119758-60-0, 12676-39-0, 1319-95-5, 146586-29-0, 150605-03-1, 1617532-55-4, 176365-67-6, 177645-80-6, 200138-94-9, 209533-94-8, 37297-05-5, 413576-89-3, 55962-68-0, 58615-57-9, 61163-94-8, 64366-44-5, 69073-02-5, 696587-54-9, 8029-22-9, 8039-58-5, 8045-31-6, 8050-92-8, 86904-15-6, 87714-32-7, 902145-16-8, 31566-31-1"
"56-40-6, 25718-94-9, 18875-39-3","1119449-36-3, 1153953-88-8, 1173020-11-5, 1196157-78-4, 52955-63-2, 57678-19-0, 848646-45-7, 87867-94-5, 1119449-36-3, 1153953-88-8, 1196157-78-4, 52955-63-2, 57678-19-0, 848646-45-7, 87867-94-5"
"56-40-6, 25718-94-9, 18875-39-3","1119449-36-3, 1153953-88-8, 1173020-11-5, 1196157-78-4, 52955-63-2, 57678-19-0, 848646-45-7, 87867-94-5, 1119449-36-3, 1153953-88-8, 1196157-78-4, 52955-63-2, 57678-19-0, 848646-45-7, 87867-94-5"
"79-14-1, 26124-68-5","1033720-45-4, 1033720-48-7, 259744-22-4, 702627-33-6, 1033720-45-4, 1033720-48-7, 702627-33-6"
"13283-82-4, 740028-90-4, 596-51-0",
"84775-66-6, 977004-31-1",84837-12-7
1405-86-3,"1208112-19-9, 139014-59-8, 18933-02-3, 31261-47-9, 47897-45-0, 47897-48-3, 70055-50-4, 79165-07-4, 947339-02-8, 139014-59-8, 18933-02-3, 31261-47-9, 47897-45-0, 47897-48-3, 70055-50-4, 79165-07-4, 947339-02-8"
"7440-57-5, 15456-07-2, 59597-42-1","1093282-27-9, 33019-35-1, 33019-35-1"
476181-74-5,
"9034-40-6, 33515-09-2, 71447-49-9","1092062-05-9, 38569-05-0, 71339-77-0, 9042-18-6, 9061-55-6, 9066-58-4, 1092062-05-9, 38569-05-0, 71339-77-0, 9061-55-6, 9066-58-4"
65807-02-5,70280-59-0
N/A,
1405-97-6,
109889-09-0,121061-98-1
7782-42-5,"115344-49-5, 1215114-94-5, 12424-49-6, 12751-41-6, 1397692-45-3, 1399-57-1, 155660-93-8, 156854-02-3, 159251-18-0, 164973-65-3, 1811526-35-8, 182761-22-4, 2093098-71-4, 2179292-22-7, 2183464-49-3, 2254660-51-8, 2306251-61-4, 2376678-91-8, 2416660-23-4, 2431982-52-2, 37265-44-4, 37265-48-8, 50814-81-8, 72840-52-9, 82696-74-0, 82696-75-1, 82701-02-8, 82701-03-9, 82701-04-0, 82701-05-1, 82701-06-2, 82709-42-0, 83797-07-3, 84739-05-9, 857167-12-5, 87934-03-0, 115344-49-5, 1215114-94-5, 12751-41-6, 1397692-45-3, 1399-57-1, 155660-93-8, 156854-02-3, 159251-18-0, 164973-65-3, 1811526-35-8, 182761-22-4, 2093098-71-4, 2179292-22-7, 2183464-49-3, 2254660-51-8, 2306251-61-4, 2376678-91-8, 2416660-23-4, 2431982-52-2, 2876892-69-0, 37265-44-4, 37265-48-8, 50814-81-8, 72840-52-9, 82696-74-0, 82696-75-1, 82701-02-8, 82701-03-9, 82701-04-0, 82701-05-1, 82701-06-2, 82709-42-0, 83797-07-3, 84739-05-9, 857167-12-5, 87934-03-0, 115344-49-5, 1215114-94-5, 12751-41-6, 1397692-45-3, 1399-57-1, 155660-93-8, 156854-02-3, 159251-18-0, 164973-65-3, 182761-22-4, 37265-44-4, 37265-48-8, 50814-81-8, 72840-52-9, 82696-74-0, 82696-75-1, 82701-02-8, 82701-03-9, 82701-04-0, 82701-05-1, 82701-06-2, 82709-42-0, 83797-07-3, 84739-05-9, 857167-12-5, 87934-03-0"
1350514-68-9,"1206524-75-5, 1356446-42-8"
119914-60-2,"126292-40-8, 146863-02-7"
N/A,
N/A,
"126-07-8, 2884-22-2, 78739-00-1","11103-62-1, 24659-79-8, 3426-54-8, 8027-03-0, 8055-10-5"
"90-05-1, 8021-39-4, 9009-62-5, 26638-03-9, 28930-19-0",
93-14-1,"12041-73-5, 128707-44-8, 1336-67-0, 12041-73-5, 128707-44-8"
"60329-03-5, 5051-62-7, 60329-05-7",
"40580-59-4, 22195-34-2",
"55-65-2, 60-02-6, 645-43-2",
29110-47-2,
"113-00-8, 50-01-1","113978-92-0, 113978-93-1, 117365-55-6, 152252-01-2, 475470-57-6"
"9000-30-0, 91671-59-9","1312293-38-1, 1541200-97-8, 2247894-05-7, 53986-27-9, 57406-68-5, 57406-71-0, 63799-54-2, 85510-16-3, 9008-17-7, 9010-50-8, 9049-33-6, 9066-07-3, 53986-27-9, 57406-68-5, 57406-71-0, 63799-54-2, 85510-16-3, 9008-17-7, 9010-50-8, 9049-33-6, 9066-07-3"
1350289-85-8,
N/A,
"69-72-7, 8042-60-2","1186130-36-8, 7681-06-3, 8052-31-1, 1186130-36-8, 8052-31-1"
23092-17-3,
3093-35-4,
52-86-8,
151-67-7,
N/A,
N/A,
N/A,
N/A,
N/A,
N/A,
141758-74-9,"141732-76-5, 286014-72-0, 335149-21-8"
N/A,
9025-56-3,
N/A,
"9005-49-6, 9041-08-1","104521-37-1, 11078-24-3, 1108625-99-5, 1108626-06-7, 11129-39-8, 37324-73-5, 9075-96-1, 91449-79-5, 101921-26-0, 102785-31-9, 12656-11-0, 913079-23-9, 104521-37-1, 11078-24-3, 1108625-99-5, 1108626-06-7, 11129-39-8, 1512870-53-9, 37324-73-5, 91449-79-5"
"69-72-7, 8042-60-2","1186130-36-8, 7681-06-3, 8052-31-1, 1186130-36-8, 8052-31-1"
520-26-3,"106904-63-6, 15512-51-3, 16643-24-6, 17654-22-7, 1817614-33-7, 28283-75-2, 30927-97-0, 32737-61-4, 960582-50-7, 106904-63-6, 15512-51-3, 16643-24-6, 17654-22-7, 28283-75-2, 30927-97-0, 32737-61-4, 960582-50-7"
N/A,
70-30-4,"1195388-85-2, 139411-96-4, 8054-98-6"
3811-75-4,
N/A,
136-77-6,
"64-17-5, 2154-50-9, 2348-46-1","121182-78-3, 8000-16-6, 8024-45-1, 8000-16-6, 8024-45-1"
51-45-6,"1416954-63-6, 64422-25-9, 924364-91-0, 64422-25-9"
"71-00-1, 4998-57-6","150-35-6, 155304-24-8, 35479-49-3, 35558-59-9, 45955-20-2, 54166-13-1, 7006-35-1, 736075-03-9, 184709-11-3, 150-35-6, 155304-24-8, 35479-49-3, 35558-59-9, 54166-13-1, 7006-35-1, 736075-03-9"
9008-05-3,
76712-82-8,
87-00-3,"104441-60-3, 16175-83-0"
N/A,N/A
N/A,
118-56-9,"194304-23-9, 50610-40-7, 52253-93-7, 8045-71-4"
8028-66-8,
N/A,
N/A,
9041-92-3,
N/A,
6754-58-1,
"102518-79-6, 120786-18-7","116-28-9, 1369-64-8"
9004-61-9,"1257406-45-3, 1357910-24-7, 1444006-49-8, 1623804-64-7, 1623804-65-8, 165324-65-2, 29382-75-0, 37243-73-5, 9039-38-7, 953845-54-0, 953845-55-1, 953845-56-2, 953845-57-3, 1257406-45-3, 1357910-24-7, 1444006-49-8, 29382-75-0, 37243-73-5, 9039-38-7, 953845-54-0, 953845-55-1, 953845-56-2, 953845-57-3"
9001-54-1,"9013-16-5, 9013-54-1, 9013-76-7, 9013-97-2, 9037-26-7"
461-72-3,"1394977-74-2, 345341-10-8, 345341-10-8"
86-54-4,
N/A,
"7647-01-0, 22537-15-1","113962-65-5, 218625-68-4, 51005-19-7, 61674-62-2"
58-93-5,"125727-50-6, 8049-49-8, 8049-49-8"
125-29-1,"1037-91-8, 1469752-80-4, 50678-79-0, 9007-52-7, 1469752-80-4, 50678-79-0, 9007-52-7"
N/A,
50-23-7,"1050676-88-4, 1436392-18-5, 8056-08-4, 80562-38-5, 8063-42-1, 1050676-88-4, 80562-38-5, 8063-42-1"
72590-77-3,
135-09-1,
"7722-84-1, 12325-10-9","218625-72-0, 37355-84-3, 66554-50-5, 8007-30-5, 97929-73-2, 218625-72-0, 37355-84-3, 66554-50-5, 8007-30-5"
N/A,
466-99-9,"18145-12-5, 41376-02-7"
"123-31-9, 3225-30-7","57534-13-1, 8027-02-9, 8027-02-9"
13422-51-0,8017-22-9
N/A,
103-86-6,1518-86-1
127-07-1,
118-42-3,"117456-74-3, 25526-45-8"
N/A,
1190-94-9,"13189-95-2, 24722-60-9, 27287-98-5, 28902-93-4, 30528-11-1"
"68-96-2, 110850-01-6, 604-09-1","1050677-68-3, 67085-08-9"
"51-35-4, 618-28-0","138-46-5, 17210-41-2, 21105-75-9, 24784-87-0, 54733-36-7"
N/A,
83-40-9,
"68-88-2, 2192-20-3",
N/A,
"101-31-5, 5934-50-9","1891070-00-0, 1892-81-5, 28905-40-0, 38411-64-2, 47170-56-9, 8000-07-5"
"548-04-9, 1372719-41-9",1372719-41-9
"7790-92-3, 12301-79-0, 14380-61-1","1338439-06-7, 14333-29-0, 26190-92-1, 14333-29-0, 26190-92-1"
N/A,
N/A,
N/A,
N/A,
680188-33-4,872357-57-8
114084-78-5,
206181-63-7,
936563-96-1,
15687-27-1,"139466-08-3, 58560-75-1, 58560-75-1"
"122647-31-8, 130350-52-6, 122647-32-9",100632-81-3
130308-48-4,
N/A,N/A
10417-94-4,25377-48-4
58957-92-9,
1362509-93-0,
58186-27-9,
"870281-82-6, 1146702-54-6",
54-42-2,"1336-77-2, 1556847-71-2, 888-04-0, 1222844-74-7, 1336-77-2, 1556847-71-2, 888-04-0, 888-04-0"
50936-59-9,
3778-73-2,"36341-88-5, 84711-20-6"
N/A,
N/A,
133454-47-4,
78919-13-8,73873-87-7
152459-95-5,
154248-97-2,
"64221-86-9, 74431-23-5","127644-14-8, 345631-68-7, 75902-88-4, 127644-14-8, 345631-68-7"
50-49-7,
"9050-31-1, 99011-02-6","168395-88-8, 37324-31-5, 405108-66-9, 42612-68-0, 52624-22-3, 9087-42-7"
2841700-23-8,
138660-96-5,
N/A,
569658-80-6,
N/A,N/A
2618667-99-3,
N/A,
N/A,
N/A,
N/A,
N/A,
N/A,
N/A,
"312753-06-3, 753498-25-8",870265-20-6
26807-65-8,49564-58-1
860-22-0,
150378-17-9,"166746-42-5, 216884-06-9, 166746-42-5"
3599-32-4,"1814902-08-3, 58984-23-9"
700-06-1,
"53-86-1, 28751-45-3","37242-43-6, 503560-73-4, 91853-74-6"
N/A,
N/A,
N/A,
170277-31-3,
N/A,
75567-37-2,849146-39-0
N/A,
"87-89-8, 6917-35-7, 551-72-4, 643-12-9, 488-54-0, 488-55-1, 488-58-4, 488-59-5, 576-63-6, 643-10-7, 38876-99-2","53319-35-0, 887751-76-0, 19030-27-4, 36190-90-6, 173524-45-3"
6556-11-2,"14154-33-7, 2090-94-0"
635715-01-4,
"116094-23-6, 877034-90-7","1024611-56-0, 139532-40-4"
N/A,
N/A,
N/A,
N/A,N/A
844439-96-9,886983-20-6
169148-63-4,"201305-44-4, 270588-25-5"
160337-95-1,"202757-02-6, 224055-72-5, 690638-50-7"
207748-29-6,
122320-73-4,
"53027-39-7, 8049-62-5","9004-16-4, 9048-96-8, 99551-09-4"
"53027-39-7, 8049-62-5","9004-16-4, 9048-96-8, 99551-09-4"
"53027-39-7, 8049-62-5","9004-16-4, 9048-96-8, 99551-09-4"
133107-64-9,
133107-64-9,
N/A,
"53027-39-7, 8049-62-5","9004-16-4, 9048-96-8, 99551-09-4"
"53027-39-7, 8049-62-5","9004-16-4, 9048-96-8, 99551-09-4"
"76543-88-9, 77907-69-8","206668-00-0, 93354-90-6, 77907-69-8"
"98530-12-2, 99210-65-8","371759-47-6, 99210-65-8, 99210-65-8"
N/A,
118390-30-0,2043378-94-3
"145258-61-3, 194739-10-1",220581-49-7
145155-23-3,
N/A,
9008-12-2,
N/A,
9005-80-5,"1252047-46-3, 189444-25-5, 2417296-06-9, 380230-05-7, 887747-94-6, 1252047-46-3, 380230-05-7, 887747-94-6"
N/A,
8002-46-8,"71892-90-5, 79817-44-0, 87435-86-7"
7553-56-2,"24503-90-0, 8012-81-5, 8012-85-9, 8031-47-8, 8012-81-5, 8012-85-9, 8031-47-8"
92339-11-2,
75-47-8,
66108-95-0,
"60166-93-0, 60208-45-9, 88375-91-1",62883-00-5
96-83-3,
5587-89-3,
73334-07-3,
2276-90-6,5551-54-2
"87771-40-2, 8771-40-2",
59017-64-0,
107793-72-6,
477202-00-9,799813-32-4
"22254-24-6, 66985-17-9",197647-05-5
138402-11-6,
"97682-44-5, 100286-90-6",
9004-66-4,"11129-47-8, 37318-94-8, 37349-14-7, 50643-00-0, 53858-58-5, 8050-93-9, 9009-88-5, 9044-58-0, 9061-47-6, 37318-94-8, 37349-14-7, 50643-00-0, 53858-58-5, 8012-47-3, 8050-93-9, 9009-88-5, 9044-58-0, 9061-47-6"
7705-08-0,"12178-83-5, 130622-20-7, 774583-10-7"
"50-81-7, 6730-29-6, 53262-66-1, 62624-30-0, 24808-52-4, 89924-69-6","1018124-03-2, 1129294-89-8, 129940-97-2, 1428525-25-0, 14536-17-5, 154170-90-8, 1703051-92-6, 259133-78-3, 30208-61-8, 50976-75-5, 56172-55-5, 56533-05-2, 57304-74-2, 57606-40-3, 623158-95-2, 882690-91-7, 884381-69-5, 885512-24-3, 88845-26-5, 896436-13-8, 89924-69-6, 1018124-03-2, 1129294-89-8, 129940-97-2, 1428525-25-0, 14536-17-5, 154170-90-8, 1703051-92-6, 2252244-20-3, 259133-78-3, 2635329-14-3, 30208-61-8, 50976-75-5, 56172-55-5, 56533-05-2, 57304-74-2, 57606-40-3, 623158-95-2, 882690-91-7, 884381-69-5, 885512-24-3, 88845-26-5, 896436-13-8, 89924-69-6, 1018124-03-2, 129940-97-2, 1428525-25-0, 14536-17-5, 154170-90-8, 1703051-92-6, 259133-78-3, 30208-61-8, 50976-75-5, 56172-55-5, 56533-05-2, 57304-74-2, 57606-40-3, 882690-91-7, 884381-69-5, 885512-24-3, 88845-26-5, 89924-69-6"
"7439-89-6, 33485-98-2, 8048-10-0, 12597-68-1, 14067-02-8, 8053-60-9","129048-51-7, 161135-39-3, 1867181-06-3, 190454-13-8, 195161-83-2, 199281-22-6, 2230894-10-5, 39344-71-3, 443783-52-6, 490018-39-8, 675141-17-0, 70884-35-4, 73135-38-3, 8011-79-8, 8053-60-9, 129048-51-7, 161135-39-3, 190454-13-8, 195161-83-2, 199281-22-6, 39344-71-3, 675141-17-0, 70884-35-4, 73135-38-3, 8011-79-8, 8053-60-9"
N/A,
N/A,
N/A,
241479-67-4,672948-06-0
742049-41-8,
59-63-2,
"530-08-5, 79490-84-9",
26675-46-7,
"1560-93-6, 60908-77-2",
"73-32-5, 443-79-8","1050482-26-2, 1131911-83-5, 1186126-44-2, 1431840-86-6, 2012595-46-7, 2110474-15-0, 2230755-14-1, 410078-51-2, 501028-75-7, 7004-09-3, 807611-99-0, 959215-79-3, 1160211-67-5, 1649424-38-3, 1798874-13-1, 198412-80-5, 19883-67-1, 205879-85-2, 224311-99-3, 228416-77-1, 676371-21-4, 1050482-26-2, 1131911-83-5, 1186126-44-2, 1431840-86-6, 2012595-46-7, 2110474-15-0, 410078-51-2, 501028-75-7, 7004-09-3, 807611-99-0, 959215-79-3"
503-01-5,65783-53-1
54-85-3,"37271-10-6, 41466-07-3, 62229-51-0, 7640-37-1, 37271-10-6, 62229-51-0, 7640-37-1"
7683-59-2,"149-53-1, 46388-38-9, 46388-38-9"
110-27-0,"1405-98-7, 852553-53-8"
142-91-6,
652-67-5,"151380-60-8, 152881-21-5, 2088100-88-1, 42750-75-4, 49871-92-3, 50974-60-2, 7241-88-5, 151380-60-8, 152881-21-5, 42750-75-4, 49871-92-3, 50974-60-2, 7241-88-5"
87-33-2,"54650-95-2, 6659-58-1, 54650-95-2"
16051-77-7,
4759-48-2,
395-28-8,
75695-93-1,88977-22-4
"84625-61-6, 84604-65-9",84604-65-9
N/A,
N/A,
155974-00-8,148870-61-5
873054-44-5,"1134822-00-6, 1174930-71-2"
70288-86-7,"1014990-52-3, 118710-50-2, 74564-75-3"
1448347-49-6,
219989-84-1,
1072833-77-2,
"1143503-69-8, 1329632-62-3",
61789-91-1,"159518-82-8, 159518-83-9, 159518-84-0, 159518-85-1, 72986-39-1"
N/A,
N/A,
"59-01-8, 8063-07-8, 3847-27-6","11025-65-3, 1807443-02-2, 19079-03-9, 64013-69-0, 717087-69-9, 936337-76-7, 11025-65-3, 1350052-69-5, 1807443-02-2, 19079-03-9, 64013-69-0, 717087-69-9, 936337-76-7, 19079-03-9, 64013-69-0, 936337-76-7"
"1340-68-7, 1332-58-7, 95077-05-7","1026990-70-4, 12198-85-5, 12199-11-0, 1227491-10-2, 1227491-11-3, 190086-05-6, 2489793-92-0, 290817-34-4, 384842-32-4, 39406-22-9, 395075-09-9, 52624-41-6, 849104-81-0, 862272-04-6, 903527-69-5, 90803-81-9, 944250-63-9, 95077-05-7, 1026990-70-4, 107029-18-5, 12198-85-5, 12199-11-0, 1227491-10-2, 1227491-11-3, 190086-05-6, 2345616-52-4, 2489793-92-0, 290817-34-4, 384842-32-4, 39406-22-9, 395075-09-9, 52624-41-6, 849104-81-0, 862272-04-6, 903527-69-5, 90803-81-9, 944250-63-9, 95077-05-7"
8008-20-6,"111941-10-7, 55465-93-5, 63241-54-3, 111941-10-7, 55465-93-5"
6740-88-1,"100477-72-3, 33643-45-7, 79499-51-7, 100477-72-3, 79499-51-7"
"65277-42-1, 142128-59-4",
22071-15-4,"154907-35-4, 172964-50-0, 22161-86-0, 154907-35-4, 22161-86-0"
"74103-06-3, 66635-83-4",66635-83-4
"34580-13-7, 34580-14-8",116655-74-4
501-30-4,123712-78-7
"63-68-3, 3654-96-4, 58576-49-1, 59-51-8","1437749-32-0, 1437749-60-4, 1437749-65-9, 1437749-75-1, 1437749-80-8, 1437769-00-0, 1437870-94-4, 1437870-95-5, 1437870-97-7, 1437870-98-8, 1437871-20-9, 1463481-01-7, 1463481-06-2, 1463481-15-3, 1463481-19-7, 1463481-23-3, 1463481-27-7, 1463481-31-3, 1463481-37-9, 1463481-41-5, 1463481-46-0, 1463481-51-7, 1463481-58-4, 1463481-73-3, 1463481-80-2, 1463481-89-1, 1463610-75-4, 1463610-76-5, 1466415-57-5, 24425-78-3, 7005-18-7, 1105707-18-3, 192948-75-7, 1437749-32-0, 1437749-60-4, 1437749-65-9, 1437749-75-1, 1437749-80-8, 1437769-00-0, 1437870-94-4, 1437870-95-5, 1437870-97-7, 1437870-98-8, 1437871-20-9, 1463481-06-2, 1463481-15-3, 1463481-19-7, 1463481-23-3, 1463481-27-7, 1463481-31-3, 1463481-37-9, 1463481-41-5, 1463481-46-0, 1463481-51-7, 1463481-58-4, 1463481-73-3, 1463481-80-2, 1463481-89-1, 1463610-75-4, 1463610-76-5, 1466415-57-5, 24425-78-3, 7005-18-7"
36894-69-6,
N/A,
175481-36-4,
68333-16-4,
N/A,
N/A,
N/A,
68333-14-2,
N/A,
N/A,
N/A,
N/A,
N/A,
N/A,
N/A,
"446-72-0, 690224-00-1",944110-99-0
N/A,
"63-42-3, 5965-66-2","1065027-17-9, 1336-90-9, 16984-38-6, 200734-90-3, 35396-14-6, 36570-80-6, 396716-09-9, 89466-76-2"
N/A,
"4618-18-2, 58166-24-8, 58166-25-9","29319-45-7, 33980-82-4, 40773-84-0, 576-08-9, 33980-82-4, 40773-84-0, 576-08-9"
4547-24-4,
N/A,
134678-17-4,"1117764-41-6, 480434-79-5"
84057-84-1,
1426055-14-2,
108736-35-2,"118992-92-0, 123369-01-7"
103577-45-3,
"7439-91-0, 13864-01-2, 17643-88-8","110123-48-3, 14762-71-1, 881842-02-0"
"231277-92-2, 913989-15-8, 388082-78-8",
210589-09-6,
1223403-58-4,
"130209-82-4, 155551-81-8",
"860005-21-6, 1262218-38-1",
"143-07-7, 203714-07-2, 7632-48-6, 8000-62-2, 8045-27-0","203714-07-2, 7632-48-6, 8000-62-2, 8045-27-0, 203714-07-2, 7632-48-6, 8045-27-0"
"156028-14-7, 68647-44-9",
"1510-16-3, 3300-34-3, 38480-64-7",
"151-21-3, 8012-56-4","1000201-72-8, 1000201-73-9, 111726-87-5, 121481-64-9, 12738-53-3, 12765-21-8, 129203-37-8, 1334-67-4, 1335-72-4, 145269-44-9, 152155-52-7, 156108-01-9, 172826-72-1, 1883428-81-6, 191490-40-1, 210297-21-5, 2326507-32-6, 237743-45-2, 303179-49-9, 39384-36-6, 51222-39-0, 57176-54-2, 58640-35-0, 61711-39-5, 64441-33-4, 74433-77-5, 8012-56-4, 8048-56-4, 877454-24-5, 952055-37-7, 952092-90-9, 1000201-72-8, 1000201-73-9, 111726-87-5, 121481-64-9, 12738-53-3, 12765-21-8, 129203-37-8, 1334-67-4, 1335-72-4, 1357615-49-6, 145269-44-9, 152155-52-7, 156108-01-9, 172826-72-1, 1883428-81-6, 191490-40-1, 210297-21-5, 2326507-32-6, 237743-45-2, 303179-49-9, 39384-36-6, 51222-39-0, 57176-54-2, 58640-35-0, 61711-39-5, 64441-33-4, 74433-77-5, 8012-56-4, 8048-56-4, 877454-24-5, 952055-37-7, 952092-90-9, 1000201-72-8, 1000201-73-9, 121481-64-9, 12738-53-3, 12765-21-8, 129203-37-8, 1334-67-4, 1335-72-4, 145269-44-9, 152155-52-7, 156108-01-9, 172826-72-1, 1883428-81-6, 191490-40-1, 210297-21-5, 237743-45-2, 303179-49-9, 39384-36-6, 51222-39-0, 57176-54-2, 58640-35-0, 61711-39-5, 64441-33-4, 74433-77-5, 8012-56-4, 8048-56-4, 877454-24-5, 952055-37-7, 952092-90-9"
N/A,
N/A,
"8002-43-5, 17708-90-6","1799810-04-0, 252035-82-8, 2649116-22-1, 2765611-50-3, 55128-59-1, 8035-17-4, 8052-43-5, 8057-53-2"
1256388-51-8,1350473-66-3
75706-12-6,210165-51-8
191732-72-6,"346670-73-3, 443912-14-9"
N/A,
417716-92-8,942407-57-0
5327-45-7,
138068-37-8,
N/A,
"878672-00-5, 1890222-25-9, 1890222-26-0",
917389-32-3,
112809-51-5,
